PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
100,35,39,34,100
81,42,42,33,74
100,49,41,39,100
73,45,58,34,100
100,57,59,83,90
100,28,52,26,100
100,49,40,42,100
100,28,56,26,80
100,44,64,35,92
100,63,57,100,86
100,41,21,31,89
100,27,100,25,76
100,44,55,43,100
100,34,46,32,100
100,52,43,46,95
39,39,44,37,70
100,60,59,100,88
52,45,59,36,95
21,34,26,32,60
100,40,33,30,100
100,39,46,30,100
100,28,34,21,88
100,46,64,36,100
85,64,56,100,61
100,51,51,43,100
100,58,62,55,100
20,46,25,36,84
100,36,21,26,78
100,55,65,55,100
100,34,59,24,100
100,45,59,35,100
53,36,43,34,67
100,66,56,100,83
55,41,47,40,61
100,43,55,35,97
100,38,45,37,99
100,63,57,100,100
100,40,38,39,73
100,44,55,35,100
100,23,34,22,93
100,46,53,45,93
100,49,53,48,79
100,52,62,42,100
100,42,43,31,94
100,32,31,30,84
100,30,41,29,100
100,51,56,50,100
100,57,58,74,100
100,43,43,33,84
100,41,37,30,100
20,28,49,26,92
100,52,65,44,95
100,26,31,24,90
23,49,55,48,50
100,51,57,44,89
36,36,24,34,89
100,47,55,46,100
100,53,64,43,87
100,40,23,30,69
100,47,54,46,84
71,40,46,31,93
21,62,58,100,100
100,36,28,35,86
23,38,19,28,51
100,51,54,51,84
100,35,32,34,100
13,40,20,29,45
90,52,61,43,100
100,65,55,100,67
100,58,60,100,80
100,41,54,33,100
100,42,29,33,100
100,49,63,40,100
83,49,55,39,62
70,38,45,37,93
22,57,62,84,81
22,61,59,100,54
79,42,32,33,66
100,54,57,61,100
100,59,61,100,78
100,52,58,51,100
100,46,100,37,88
94,60,61,75,76
100,37,49,35,100
100,39,22,30,100
100,51,61,45,76
100,45,60,35,70
18,60,61,100,43
51,26,34,24,100
100,27,52,26,75
100,45,29,34,100
38,60,60,100,55
100,37,45,36,89
81,42,49,41,69
100,40,47,39,100
77,56,63,84,96
100,29,55,27,81
16,27,60,25,59
100,26,34,24,87
57,59,60,100,93
100,57,62,73,100
100,60,59,100,100
63,27,34,26,69
79,43,51,42,100
30,41,19,30,95
100,27,32,25,100
86,50,56,49,82
17,34,20,26,53
68,38,100,29,100
54,36,45,27,100
100,60,60,100,88
100,57,63,59,100
100,57,61,100,100
100,54,57,61,100
100,36,34,35,100
19,39,100,30,46
100,50,39,43,100
100,29,50,27,100
50,40,47,39,59
100,43,51,35,97
100,58,60,100,94
19,54,58,58,42
100,48,56,47,100
100,32,53,30,100
100,42,51,41,74
100,32,25,31,100
40,48,42,41,57
20,35,45,33,63
13,57,61,96,52
15,39,24,30,79
56,64,56,100,90
100,42,47,41,90
100,29,52,21,91
100,40,47,39,100
35,41,45,40,54
100,60,60,100,100
100,25,100,24,100
82,46,25,36,100
100,38,37,37,98
100,51,58,42,100
54,46,63,35,77
92,51,44,42,100
21,36,100,26,93
100,37,50,36,100
100,23,25,22,100
19,49,61,41,100
100,52,54,42,97
100,45,57,34,99
100,45,29,35,84
100,36,48,35,83
100,44,52,43,100
100,44,51,43,100
100,59,60,100,80
30,58,45,100,100
100,26,42,24,100
100,54,65,50,94
100,25,57,23,95
85,41,100,32,77
100,55,65,47,92
71,41,25,31,85
97,39,44,38,80
100,45,58,36,100
100,44,51,43,100
100,43,27,33,80
100,46,65,37,88
16,31,42,29,52
32,35,46,34,67
100,54,36,45,100
100,36,37,34,100
100,43,52,35,93
100,40,46,39,67
100,42,32,34,100
18,61,59,100,38
100,45,52,44,100
25,35,35,34,100
100,31,19,23,85
40,30,21,22,73
73,31,48,23,77
100,43,26,33,100
100,47,54,47,100
100,42,56,33,100
100,49,59,41,91
24,42,39,32,50
100,55,65,51,83
100,29,36,21,87
100,34,55,33,83
57,41,47,40,99
100,44,51,43,97
100,51,37,41,100
16,60,61,100,71
